scopus_id,name,first_name,last_name,original_title,department,area,university,email,rank
,Anthony V. Aaron,Anthony,Aaron,Professor of the Practice of Accounting,Accounting,Accounting,University of Southern California (Marshall School of Business),,Professor of Practice
,Scott Abrams,Scott,Abrams,Academic Director for the Full-Time MBA Program | Professor of Clinical Finance and Business Economics,Finance and Business Economics,Finance,University of Southern California (Marshall School of Business),,Clinical Professor
,Julien Adams,Julien,Adams,Adjunct Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Southern California (Marshall School of Business),,Adjunct
7202767531,Paul S. Adler,Paul,Adler,"Harold Quinton Chair of Business Policy | Professor of Management and Organization, Sociology (by courtesy), and Environmental Studies (by courtesy)",Management and Organization,Management Organizations (Organizational Behavior),University of Southern California (Marshall School of Business),,Professor
,Amir Aghdaei,Amir,Aghdaei,Adjunct Professor of Management and Organization,Management and Organization,Management Organizations (Organizational Behavior),University of Southern California (Marshall School of Business),,Adjunct
26422805800,Kenneth R. Ahern,Kenneth,Ahern,Associate Professor of Finance and Business Economics,Finance and Business Economics,Finance,University of Southern California (Marshall School of Business),,Associate
,Mehmet E. Akbulut,Mehmet,Akbulut,Adjunct Professor of Finance and Business Economics,Finance and Business Economics,Finance,University of Southern California (Marshall School of Business),,Adjunct
,Rahsan Akbulut,Rahsan,Akbulut,Vice Dean of MS Programs | Clinical Professor in the Department of Finance and Business Economics,Finance and Business Economics,Finance,University of Southern California (Marshall School of Business),,Clinical Professor
,Yeganeh Alimohammadi,Yeganeh,Alimohammadi,Assistant Professor of Data Sciences and Operations,Data Sciences and Operations,"Business Analytics, Decision Science and Stats",University of Southern California (Marshall School of Business),,Assistant
,Kathleen R Allen,Kathleen,Allen,Professor Emerita of Clinical Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Southern California (Marshall School of Business),,Emeritus
,Ayca Altintig,Ayca,Altintig,Associate Professor of Clinical Finance,,,University of Southern California (Marshall School of Business),,Clinical Professor
,Daniel Altobello,Daniel,Altobello,Adjunct Professor of Data Sciences and Operations,Data Sciences and Operations,"Business Analytics, Decision Science and Stats",University of Southern California (Marshall School of Business),,Adjunct
,Amy Altomare,Amy,Altomare,Adjunct Professor of Data Sciences and Operations,Data Sciences and Operations,"Business Analytics, Decision Science and Stats",University of Southern California (Marshall School of Business),,Adjunct
57207452430,Mohammed Alyakoob,Mohammed,Alyakoob,Assistant Professor of Data Sciences and Operations,Data Sciences and Operations,"Business Analytics, Decision Science and Stats",University of Southern California (Marshall School of Business),,Assistant
,Elizabeth Amini,Elizabeth,Amini,Teaching Associate Professor,,,University of Southern California (Marshall School of Business),,Associate
,Agnes Andor,Agnes,Andor,Assistant Professor of Clinical Management and Organization,Management and Organization,Management Organizations (Organizational Behavior),University of Southern California (Marshall School of Business),,Clinical Professor
,Doug Andrews,Doug,Andrews,Professor Emeritus of Clinical Business Communication,Business Communication,Business Communication,University of Southern California (Marshall School of Business),,Emeritus
55249669400,Eric Anicich,Eric,Anicich,Associate Professor of Management and Organization,Management and Organization,Management Organizations (Organizational Behavior),University of Southern California (Marshall School of Business),,Associate
,Arif Ansari,Arif,Ansari,Professor of Clinical Data Sciences and Operations,Data Sciences and Operations,"Business Analytics, Decision Science and Stats",University of Southern California (Marshall School of Business),,Clinical Professor
,Marco Aponte-Moreno,Marco,Aponte-Moreno,Professor of Clinical Management and Organization,Management and Organization,Management Organizations (Organizational Behavior),University of Southern California (Marshall School of Business),,Clinical Professor
,Jolanta Aritz,Jolanta,Aritz,Professor of Clinical Business Communication,Business Communication,Business Communication,University of Southern California (Marshall School of Business),,Clinical Professor
,Cesar Armendariz,Cesar,Armendariz,Adjunct Professor of Clinical Business Communication,Business Communication,Business Communication,University of Southern California (Marshall School of Business),,Adjunct
,Cosimo Arnesano,Cosimo,Arnesano,Assistant Professor of Clinical Data Sciences and Operations,Data Sciences and Operations,"Business Analytics, Decision Science and Stats",University of Southern California (Marshall School of Business),,Clinical Professor
,John Ayoob,John,Ayoob,Adjunct Professor of Finance and Business Economics,Finance and Business Economics,Finance,University of Southern California (Marshall School of Business),,Adjunct
,Guilford Babcock,Guilford,Babcock,Professor Emeritus of Finance and Business Economics,Finance and Business Economics,Finance,University of Southern California (Marshall School of Business),,Emeritus
,Diane Marie Badame,Diane,Badame,Academic Co-Director of the MS in Marketing Program | Professor of Clinical Marketing,Marketing,Marketing,University of Southern California (Marshall School of Business),,Clinical Professor
,Paul Bader,Paul,Bader,Adjunct Professor of Accounting,Accounting,Accounting,University of Southern California (Marshall School of Business),,Adjunct
57193554391,Neha Bairoliya,Neha,Bairoliya,Assistant Professor of Finance and Business Economics,Finance and Business Economics,Finance,University of Southern California (Marshall School of Business),,Assistant
,Daphné Baldassari,Daphné,Baldassari,Assistant Professor of Management and Organization,Management and Organization,Management Organizations (Organizational Behavior),University of Southern California (Marshall School of Business),,Assistant
,Sean Banchik,Sean,Banchik,Adjunct Professor of Finance and Business Economics,Finance and Business Economics,Finance,University of Southern California (Marshall School of Business),,Adjunct
,Joydeep Banerjee,Joydeep,Banerjee,Adjunct Professor of Data Sciences and Operations,Data Sciences and Operations,"Business Analytics, Decision Science and Stats",University of Southern California (Marshall School of Business),,Adjunct
,Jack J Barcal,Jack,Barcal,Associate Professor of Accounting,Accounting,Accounting,University of Southern California (Marshall School of Business),,Associate
,Yehuda Bassok,Yehuda,Bassok,Professor Emeritus of Data Sciences and Operations,Data Sciences and Operations,"Business Analytics, Decision Science and Stats",University of Southern California (Marshall School of Business),,Emeritus
,Kanad Basu,Kanad,Basu,Adjunct Professor of the Practice Data Sciences and Operations,Data Sciences and Operations,"Business Analytics, Decision Science and Stats",University of Southern California (Marshall School of Business),,Adjunct
,Reza Bavafa,Reza,Bavafa,Adjunct Professor of Finance and Business Economics,Finance and Business Economics,Finance,University of Southern California (Marshall School of Business),,Adjunct
,Murat Bayiz,Murat,Bayiz,Assistant Chair for the Department of Data Sciences and Operations | Professor of Clinical Data Sciences and Operations | Susan M. Kosasa Chair in Teaching Excellence,Data Sciences and Operations,"Business Analytics, Decision Science and Stats",University of Southern California (Marshall School of Business),,Clinical Professor
,Randolph Paul Beatty,Randolph,Beatty,Professor Emeritus of Accounting,Accounting,Accounting,University of Southern California (Marshall School of Business),,Emeritus
