scopus_id,name,first_name,last_name,original_title,department,area,university,email,rank
,Soren Aandahl,Soren,Aandahl,Lecturer,Accounting,Accounting,University of Texas at Austin (McCombs School of Business),,Lecturer
,Christopher Aarons,Christopher,Aarons,Assistant Professor of Instruction,Marketing,Marketing,University of Texas at Austin (McCombs School of Business),,Teaching Professor
54880076600,Ashish Agarwal,Ashish,Agarwal,Professor,"Information, Risk, and Operations Management",Production and Operations,University of Texas at Austin (McCombs School of Business),,Professor
57194517510,Shiva Agarwal,Shiva,Agarwal,Assistant Professor,Management,Management Organizations (Organizational Behavior),University of Texas at Austin (McCombs School of Business),,Assistant
,Joshua Alexander,Joshua,Alexander,Assistant Professor of Instruction,Finance,Finance,University of Texas at Austin (McCombs School of Business),,Teaching Professor
,Megan Allen,Megan,Allen,Assistant Professor of Instruction,Accounting,Accounting,University of Texas at Austin (McCombs School of Business),,Teaching Professor
7004279197,Andres Almazan,Andres,Almazan,Professor,Finance,Finance,University of Texas at Austin (McCombs School of Business),,Professor
,Mark Alpert,Mark,Alpert,Professor Emeritus,Marketing,Marketing,University of Texas at Austin (McCombs School of Business),,Emeritus
8665324800,Aydogan Alti,Aydogan,Alti,Associate Professor,Finance,Finance,University of Texas at Austin (McCombs School of Business),,Associate
,Richard Amato,Richard,Amato,Lecturer,"Business, Government, and Society",Business Econ and Policy,University of Texas at Austin (McCombs School of Business),,Lecturer
35611839300,Edward Anderson,Edward,Anderson,Professor,"Information, Risk, and Operations Management",Production and Operations,University of Texas at Austin (McCombs School of Business),,Professor
,Gary Anderson,Gary,Anderson,Lecturer,Management,Management Organizations (Organizational Behavior),University of Texas at Austin (McCombs School of Business),,Lecturer
,Mary Anderson,Mary,Anderson,Lecturer,"Information, Risk, and Operations Management",Production and Operations,University of Texas at Austin (McCombs School of Business),,Lecturer
,Jeffrey Andrien,Jeffrey,Andrien,Lecturer,Finance,Finance,University of Texas at Austin (McCombs School of Business),,Lecturer
,Dianne Armstrong,Dianne,Armstrong,Lecturer,Management,Management Organizations (Organizational Behavior),University of Texas at Austin (McCombs School of Business),,Lecturer
,Mihran Aroian,Mihran,Aroian,Assistant Professor of Instruction,Management,Management Organizations (Organizational Behavior),University of Texas at Austin (McCombs School of Business),,Teaching Professor
,Rowland Atiase,Rowland,Atiase,Professor Emeritus,Accounting,Accounting,University of Texas at Austin (McCombs School of Business),,Emeritus
,David Atkinson,David,Atkinson,Lecturer,"Business, Government, and Society",Business Econ and Policy,University of Texas at Austin (McCombs School of Business),,Lecturer
,Patrick Badolato,Patrick,Badolato,Professor of Instruction,Accounting,Accounting,University of Texas at Austin (McCombs School of Business),,Teaching Professor
6602879379,Uttarayan Bagchi,Uttarayan,Bagchi,Professor,"Information, Risk, and Operations Management",Production and Operations,University of Texas at Austin (McCombs School of Business),,Professor
7102077592,Anantaram Balakrishnan,Anantaram,Balakrishnan,Professor,"Information, Risk, and Operations Management",Production and Operations,University of Texas at Austin (McCombs School of Business),,Professor
,Molly Bales,Molly,Bales,Lecturer,Management,Management Organizations (Organizational Behavior),University of Texas at Austin (McCombs School of Business),,Lecturer
,David Bank,David,Bank,Lecturer,"Information, Risk, and Operations Management",Production and Operations,University of Texas at Austin (McCombs School of Business),,Lecturer
6602370448,Indranil Bardhan,Indranil,Bardhan,Professor,"Information, Risk, and Operations Management",Production and Operations,University of Texas at Austin (McCombs School of Business),,Professor
,Lori Barnes,Lori,Barnes,Lecturer,Management,Management Organizations (Organizational Behavior),University of Texas at Austin (McCombs School of Business),,Lecturer
57226158086,Nathan Barrymore,Nathan,Barrymore,Assistant Professor,"Business, Government, and Society",Business Econ and Policy,University of Texas at Austin (McCombs School of Business),,Assistant
6601983617,Caroline Bartel,Caroline,Bartel,Professor,Management,Management Organizations (Organizational Behavior),University of Texas at Austin (McCombs School of Business),,Professor
7103412387,Anitesh Barua,Anitesh,Barua,Professor,"Information, Risk, and Operations Management",Production and Operations,University of Texas at Austin (McCombs School of Business),,Professor
,Cynthia Beath,Cynthia,Beath,Professor Emeritus,"Information, Risk, and Operations Management",Production and Operations,University of Texas at Austin (McCombs School of Business),,Emeritus
57226112129,Andrew Belnap,Andrew,Belnap,Assistant Professor,Accounting,Accounting,University of Texas at Austin (McCombs School of Business),,Assistant
,Ben Bentzin,Ben,Bentzin,Associate Professor of Instruction,Marketing,Marketing,University of Texas at Austin (McCombs School of Business),,Teaching Professor
23099054000,J. Bickel,J.,Bickel,Professor,"Information, Risk, and Operations Management",Production and Operations,University of Texas at Austin (McCombs School of Business),,Professor
,Ian Bidot,Ian,Bidot,Lecturer,Management,Management Organizations (Organizational Behavior),University of Texas at Austin (McCombs School of Business),,Lecturer
,Daniel Bisett,Daniel,Bisett,Lecturer,Marketing,Marketing,University of Texas at Austin (McCombs School of Business),,Lecturer
,Bartholomew Bohn,Bartholomew,Bohn,Assistant Professor of Instruction,Finance,Finance,University of Texas at Austin (McCombs School of Business),,Teaching Professor
,Henrique Bolfarine,Henrique,Bolfarine,Lecturer,"Information, Risk, and Operations Management",Production and Operations,University of Texas at Austin (McCombs School of Business),,Lecturer
,Derrick Bonyuet,Derrick,Bonyuet,Clinical Assistant Professor,Accounting,Accounting,University of Texas at Austin (McCombs School of Business),,Clinical Professor
,Mark Bradshaw,Mark,Bradshaw,Assistant Professor of Instruction,Accounting,Accounting,University of Texas at Austin (McCombs School of Business),,Teaching Professor
57216882974,Jacob Bradt,Jacob,Bradt,Assistant Professor,"Business, Government, and Society",Business Econ and Policy,University of Texas at Austin (McCombs School of Business),,Assistant
,Luiz Brandao,Luiz,Brandao,Adjunct Associate Professor,"Information, Risk, and Operations Management",Production and Operations,University of Texas at Austin (McCombs School of Business),,Adjunct
,Elise Brazier,Elise,Brazier,Assistant Professor of Instruction,Management,Management Organizations (Organizational Behavior),University of Texas at Austin (McCombs School of Business),,Teaching Professor
,Dean Bredeson,Dean,Bredeson,Professor of Instruction,"Business, Government, and Society",Business Econ and Policy,University of Texas at Austin (McCombs School of Business),,Teaching Professor
,Rhonda Brink,Rhonda,Brink,Lecturer,"Business, Government, and Society",Business Econ and Policy,University of Texas at Austin (McCombs School of Business),,Lecturer
,Steven Brister,Steven,Brister,Associate Professor of Instruction,Marketing,Marketing,University of Texas at Austin (McCombs School of Business),,Teaching Professor
