scopus_id,name,first_name,last_name,original_title,department,area,university,email,rank
16642291500,Nidhi Agrawal,Nidhi,Agrawal,Professor of Marketing | Michael G. Foster Endowed Professor,Marketing and International Business,Marketing,University of Washington (Foster School of Business),,Professor
,Renato Agrella,Renato,Agrella,Affiliate Instructor,,,University of Washington (Foster School of Business),,Other
,Mikhail (Misha) Alexeeff,Mikhail,Alexeeff,Teaching Associate of Accounting,Accounting,Accounting,University of Washington (Foster School of Business),,Other
,Farah Ali,Farah,Ali,Affiliate Instructor,,,University of Washington (Foster School of Business),,Other
,Uttara M. Ananthakrishnan,Uttara,Ananthakrishnan,Assistant Professor,,,University of Washington (Foster School of Business),,Assistant
7004253163,Bruce Avolio,Bruce,Avolio,Professor of Management | Mark Pigott Chair in Business Strategic Leadership,Management and Organization,Management Organizations (Org. Behavior),University of Washington (Foster School of Business),,Professor
,Wendy Baesler,Wendy,Baesler,Acting Instructor of Accounting,Accounting,Accounting,University of Washington (Foster School of Business),,Other
,Bebe Bales,Bebe,Bales,Affiliate Instructor of Management and Organization,Management and Organization,Management Organizations (Org. Behavior),University of Washington (Foster School of Business),,Other
57210584699,Christopher M. Barnes,Christopher,Barnes,Professor of Management | Michael G. Foster Endowed Professor,Management and Organization,Management Organizations (Org. Behavior),University of Washington (Foster School of Business),,Professor
,Ivan Barron,Ivan,Barron,Assistant Teaching Professor of Management,Management and Organization,Management Organizations (Org. Behavior),University of Washington (Foster School of Business),,Teaching Professor
,Jay Bartot,Jay,Bartot,Affiliate Instructor,,,University of Washington (Foster School of Business),,Other
,Leta Beard,Leta,Beard,Associate Teaching Professor of Marketing,Marketing and International Business,Marketing,University of Washington (Foster School of Business),,Teaching Professor
,Tod Bergstrom,Tod,Bergstrom,Assistant Teaching Professor of Management and Organization,Management and Organization,Management Organizations (Org. Behavior),University of Washington (Foster School of Business),,Teaching Professor
57192190809,Darren Bernard,Darren,Bernard,Associate Professor of Accounting | KPMG Term Professor,Accounting,Accounting,University of Washington (Foster School of Business),,Associate
