scopus_id,name,first_name,last_name,original_title,department,area,university,email,rank
,Daniel Aaronson,Daniel,Aaronson,Adjunct Professor of Managerial Economics & Decision Sciences,Managerial Economics & Decision Sciences,Business Econ and Policy,Northwestern University (Kellogg School of Management),,Adjunct
57197179603,Tarek Abdallah,Tarek,Abdallah,Associate Professor of Operations,Operations,Production and Operations,Northwestern University (Kellogg School of Management),,Associate
56624459600,Chethana Achar,Chethana,Achar,Associate Professor of Marketing,Marketing,Marketing,Northwestern University (Kellogg School of Management),,Associate
,Mark Achler,Mark,Achler,Adjunct Lecturer of Management and Organizations,Management & Organizations,Management Organizations (Org. Behavior),Northwestern University (Kellogg School of Management),,Adjunct
,Denise Akason,Denise,Akason,Adjunct Lecturer of Real Estate,,,Northwestern University (Kellogg School of Management),,Adjunct
6603439413,Nabil Al-Najjar,Nabil,Al-Najjar,John L. and Helen Kellogg Professor of Managerial Economics & Decision Sciences,Managerial Economics & Decision Sciences,Business Econ and Policy,Northwestern University (Kellogg School of Management),,Professor
,Matthew Allen,Matthew,Allen,John L. Ward Clinical Professor of Family Enterprises and Executive Director of the Ward Center for Family Enterprises,,,Northwestern University (Kellogg School of Management),,Clinical Professor
7201524371,Torben Gustav Andersen,Torben,Andersen,Nathan S. and Mary P. Sharp Professor of Finance,Finance,Finance,Northwestern University (Kellogg School of Management),,Professor
7202322773,Eric T. Anderson,Eric,Anderson,Polk Bros. Chair in Retailing; Professor of Marketing,Marketing,Marketing,Northwestern University (Kellogg School of Management),,Professor
,James Anderson,James,Anderson,Professor Emeritus of Marketing,Marketing,Marketing,Northwestern University (Kellogg School of Management),,Emeritus
,Mark Angelson,Mark,Angelson,Adjunct Professor of Mergers and Acquisitions,,,Northwestern University (Kellogg School of Management),,Adjunct
24075315300,Nemanja Antic,Nemanja,Antic,Associate Professor of Managerial Economics & Decision Sciences,Managerial Economics & Decision Sciences,Business Econ and Policy,Northwestern University (Kellogg School of Management),,Associate
,Rob Apatoff,Rob,Apatoff,"Associate Dean, Kellogg Executive Leadership Institute and Corporate Alliances; Clinical Professor of Executive Education",,,Northwestern University (Kellogg School of Management),,Clinical Professor
57209912851,Guy Aridor,Guy,Aridor,Assistant Professor of Marketing,Marketing,Marketing,Northwestern University (Kellogg School of Management),,Assistant
,Katie Arnold,Katie,Arnold,Adjunct Lecturer in Healthcare at Kellogg,,,Northwestern University (Kellogg School of Management),,Adjunct
,Venkat Atluri,Venkat,Atluri,Executive Fellow and Adjunct Lecturer of Executive Education,,,Northwestern University (Kellogg School of Management),,Adjunct
,David Austen-Smith,David,Austen-Smith,Professor Emeritus of Managerial Economics & Decision Sciences,Managerial Economics & Decision Sciences,Business Econ and Policy,Northwestern University (Kellogg School of Management),,Emeritus
7004412891,Sandeep Baliga,Sandeep,Baliga,"John L. and Helen Kellogg Professor of Managerial Economics & Decision Sciences; Co-Director, Math Center; Chair, Managerial Economics and Decision Sciences Department",Managerial Economics & Decision Sciences,Business Econ and Policy,Northwestern University (Kellogg School of Management),,Professor
,Scott Barghaan,Scott,Barghaan,Adjunct Lecturer of Executive Education,,,Northwestern University (Kellogg School of Management),,Adjunct
,Heather Barnes,Heather,Barnes,Lecturer in Leadership Development and Communications,,,Northwestern University (Kellogg School of Management),,Lecturer
57191360588,Daniel Barron,Daniel,Barron,Associate Professor of Strategy,Strategy,Strategy,Northwestern University (Kellogg School of Management),,Associate
10040086300,Achal Bassamboo,Achal,Bassamboo,"Charles E. Morrison Professor of Decision Sciences; Professor of Operations; Co-Director of MMM Program; Chair, Operations Department",Managerial Economics & Decision Sciences,Business Econ and Policy,Northwestern University (Kellogg School of Management),,Professor
23003701200,Efraim Benmelech,Efraim,Benmelech,Henry Bullock Professor of Finance & Real Estate; Director of the Crown Family Israel Center for Innovation; Co-Director of the Guthrie Center for Real Estate Research,Finance,Finance,Northwestern University (Kellogg School of Management),,Professor
,William Michael Bennett,William,Bennett,Adjunct Lecturer of Real Estate,,,Northwestern University (Kellogg School of Management),,Adjunct
,Amine Bennouna,Amine,Bennouna,Donald P. Jacobs Scholar; Assistant Professor of Operations,Operations,Production and Operations,Northwestern University (Kellogg School of Management),,Assistant
,Gail Berger,Gail,Berger,"Clinical  Professor of Management & Organizations; Deputy Director, Center for Executive Women; Associate Professor of Instruction, Industrial Engineering and Management Sciences, McCormick School of Engineering",Management & Organizations,Management Organizations (Org. Behavior),Northwestern University (Kellogg School of Management),,Clinical Professor
,Jeffrey Berk,Jeffrey,Berk,Adjunct Professor of Operations Management,Operations,Production and Operations,Northwestern University (Kellogg School of Management),,Adjunct
,Shana B. Bernstein,Shana,Bernstein,"Clinical Associate Professor in Kellogg’s Social Impact Program; Clinical Associate Professor, Center for Legal Studies, Weinberg College of Arts and Sciences",,,Northwestern University (Kellogg School of Management),,Clinical Professor
6602211738,David Besanko,David,Besanko,IBM Professor of Regulation & Competitive Practices,,,Northwestern University (Kellogg School of Management),,Professor
57193418862,Nicola Bianchi,Nicola,Bianchi,Associate Professor of Strategy,Strategy,Strategy,Northwestern University (Kellogg School of Management),,Associate
7202626014,Bernard Black,Bernard,Black,"Nicholas J. Chabraja Professor, Northwestern University Law School; Professor of Finance (Secondary)",Finance,Finance,Northwestern University (Kellogg School of Management),,Professor
,Robert Blattberg,Robert,Blattberg,Professor Emeritus of Marketing,Marketing,Marketing,Northwestern University (Kellogg School of Management),,Emeritus
