scopus_id,name,first_name,last_name,original_title,department,area,university,email,rank
39761025700,Jason Abaluck,Jason,Abaluck,Professor of Economics,Economics,Business Econ and Policy,Yale University,,Professor
57200994134,Laura Adler,Laura,Adler,Assistant Professor of Organizational Behavior,Organizational Behavior,Management Organizations (Org. Behavior),Yale University,,Assistant
6508378630,Rick Antle,Rick,Antle,William S. Beinecke Professor of Accounting,Accounting,Accounting,Yale University,,Professor
57225217331,Jaime Arellano-Bover,Jaime,Arellano-Bover,Lecturer of Economics,Economics,Business Econ and Policy,Yale University,,Lecturer
57190811288,David Argente,David,Argente,Assistant Professor of Economics,Economics,Business Econ and Policy,Yale University,,Assistant
56067979000,Nicholas C. Barberis,Nicholas,Barberis,Stephen and Camille Schramm Professor of Finance,Finance,Finance,Yale University,,Professor
7401569537,James N. Baron,James,Baron,William S. Beinecke Professor of Management,Management,Management,Yale University,,Professor
57219895230,John Manuel Barrios,John,Barrios,Associate Professor of Accounting,Accounting,Accounting,Yale University,,Associate
57204522986,Barbara Biasi,Barbara,Biasi,Assistant Professor of Economics,Economics,Business Econ and Policy,Yale University,,Assistant
,Sarah Biggerstaff,Sarah,Biggerstaff,Lecturer in the Practice of Management,Management,Management,Yale University,,Lecturer
,Pierre Bodéré,Pierre,Bodéré,Assistant Professor of Economics,Economics,Business Econ and Policy,Yale University,,Assistant
57195227414,Tristan L. Botelho,Tristan,Botelho,Associate Professor of Organizational Behavior,Organizational Behavior,Management Organizations (Org. Behavior),Yale University,,Associate
,Heidi Brooks,Heidi,Brooks,Senior Lecturer in Organizational Behavior,Organizational Behavior,Management Organizations (Org. Behavior),Yale University,,Senior Lecturer
56056759400,Alex Burnap,Alex,Burnap,Assistant Professor of Marketing,Marketing,Marketing,Yale University,,Assistant
8380686000,Daylian Cain,Daylian,Cain,"Senior Lecturer in Negotiation, Sales, and Leadership",Organizational Behavior,Management Organizations (Org. Behavior),Yale University,,Senior Lecturer
55343807000,Lorenzo Caliendo,Lorenzo,Caliendo,Won Park Hahn Professor of Global Affairs and Management & Professor of Economics,Economics,Business Econ and Policy,Yale University,,Professor
23471638300,Teresa Chahine,Teresa,Chahine,Senior Lecturer in Social Entrepreneurship,Management,Management,Yale University,,Senior Lecturer
24775095400,Zoe Chance,Zoe,Chance,Senior Lecturer in Management,Management,Management,Yale University,,Senior Lecturer
7004061909,Kerwin K. Charles,Kerwin,Charles,"Indra K. Nooyi Dean & Frederick W. Beinecke Professor of Economics, Policy, and Management",Economics,Business Econ and Policy,Yale University,,Professor
57203069604,Judith A. Chevalier,Judith,Chevalier,"William S. Beinecke Professor of Finance and Economics and Faculty Director for the Program on Social Enterprise, Innovation, and Impact",Finance,Finance,Yale University,,Professor
55761353100,James Choi,James,Choi,Professor of Finance,Finance,Finance,Yale University,,Professor
57225911284,Christopher Clayton,Christopher,Clayton,Assistant Professor of Finance,Finance,Finance,Yale University,,Assistant
21734273600,Kate Cooney,Kate,Cooney,Senior Lecturer in Social Enterprise and Management and Director of the Inclusive Economic Development Lab,Management,Management,Yale University,,Senior Lecturer
6506511569,Todd Cort,Todd,Cort,"Senior Lecturer in Sustainability; Faculty Director of Sustainability Program, MBA for Executives; Faculty Co-Director, Yale Center for Business and the Environment",Management,Management,Yale University,,Senior Lecturer
56895998000,Corey Cusimano,Corey,Cusimano,Assistant Professor of Marketing,Marketing,Marketing,Yale University,,Assistant
57194336522,Jennifer Dannals,Jennifer,Dannals,Assistant Professor of Organizational Behavior,Organizational Behavior,Management Organizations (Org. Behavior),Yale University,,Assistant
35268569400,Ravi Dhar,Ravi,Dhar,"George Rogers Clark Professor of Management and Marketing; Director of the Yale Center for Customer Insights & Co-Faculty Leader, Yale Program on Stakeholder Innovation and Management",Marketing,Marketing,Yale University,,Professor
56316487900,Julia DiBenigno,Julia,DiBenigno,Professor of Organizational Behavior,Organizational Behavior,Management Organizations (Org. Behavior),Yale University,,Professor
57214623722,Kevin Donovan,Kevin,Donovan,Associate Professor of Economics,Economics,Business Econ and Policy,Yale University,,Associate
57224115905,Raphael Duguay,Raphael,Duguay,Assistant Professor of Accounting,Accounting,Accounting,Yale University,,Assistant
7005905337,William B. English,William,English,"Eugene F. Williams, Jr. Professor of the Practice",,,Yale University,,Professor of Practice
35986448100,Jonathan S. Feinstein,Jonathan,Feinstein,John G. Searle Professor of Economics and Management,Economics,Business Econ and Policy,Yale University,,Professor
59531534900,Paul Fontanier,Paul,Fontanier,Assistant Professor of Finance,Finance,Finance,Yale University,,Assistant
57201704676,Howard P. Forman,Howard,Forman,"Professor of Diagnostic Radiology, Economics, and Public Health; Professor in the Practice of Management; Director of the MD/MBA Program; Director of Healthcare Curriculum, MBA for Executives Program",Economics,Business Econ and Policy,Yale University,,Professor of Practice
8957426800,Shane Frederick,Shane,Frederick,Richard Ely Professor of Marketing,Marketing,Marketing,Yale University,,Professor
57777515100,Erin L. Frey,Erin,Frey,Assistant Professor of Organizational Behavior,Organizational Behavior,Management Organizations (Org. Behavior),Yale University,,Assistant
57195419378,Adriana L. Germano,Adriana,Germano,Assistant Professor of Organizational Behavior,Organizational Behavior,Management Organizations (Org. Behavior),Yale University,,Assistant
55228705500,Soheil Ghili,Soheil,Ghili,Associate Professor of Marketing,Marketing,Marketing,Yale University,,Associate
55163371700,Stefano Giglio,Stefano,Giglio,"Frederic D. Wolfe Professor of Finance, Management, and Entrepreneurship",Finance,Finance,Yale University,,Professor
