scopus_id,name,first_name,last_name,original_title,department,area,university,email,rank
55928604700,Panagiotis (Panos) Adamopoulos,Panagiotis,Adamopoulos,Goizueta Term Chair Associate Professor of Information Systems & Operations Management,Information Systems & Operations Management,Information Systems,Emory University,,Associate
57226125713,Aizhan Anarkulova,Aizhan,Anarkulova,Assistant Professor of Finance,Finance,Finance,Emory University,,Assistant
,Klaas Baks,Klaas,Baks,Professor in the Practice of Finance,Finance,Finance,Emory University,,Professor of Practice
,Tucker Balch,Tucker,Balch,Professor in the Practice and Research of Finance,Finance,Finance,Emory University,,Professor of Practice
57226030991,Tetyana Balyuk,Tetyana,Balyuk,Assistant Professor of Finance,Finance,Finance,Emory University,,Assistant
8661412600,Jan Barton,Jan,Barton,Associate Professor of Accounting,Accounting,Accounting,Emory University,,Associate
,Ira Bedzow,Ira,Bedzow,Associate Professor in the Practice of Organization & Management,Organization & Management,Management Organizations (Org. Behavior),Emory University,,Professor of Practice
,Richard Berlin,Richard,Berlin,Associate Professor in the Practice of Organization & Management,Organization & Management,Management Organizations (Org. Behavior),Emory University,,Professor of Practice
7004584448,Anandhi Bharadwaj,Anandhi,Bharadwaj,Goizueta Endowed Chair in Electronic Commerce and Professor of Information Systems & Operations Management,Information Systems & Operations Management,Information Systems,Emory University,,Professor
25824205400,Emily Bianchi,Emily,Bianchi,Associate Professor of Organization & Management,Organization & Management,Management Organizations (Org. Behavior),Emory University,,Associate
,Roy Black,Roy,Black,Professor Emeritus in the Practice of Finance,Finance,Finance,Emory University,,Emeritus
14013016200,Jesse Bockstedt,Jesse,Bockstedt,Senior Associate Dean for Graduate Programs and Professor of Information Systems & Operations Management,Information Systems & Operations Management,Information Systems,Emory University,,Professor
33967476400,Douglas Bowman,Douglas,Bowman,Professor of Marketing,Marketing,Marketing,Emory University,,Professor
,Allison Burdette,Allison,Burdette,Professor in the Practice of Business Law,,,Emory University,,Professor of Practice
7006799084,Jeffrey Busse,Jeffrey,Busse,Professor of Finance,Finance,Finance,Emory University,,Professor
,Jeffrey Byrne,Jeffrey,Byrne,"Assistant Professor in the Practice of Accounting, Director of Master of Professional Accounting",Accounting,Accounting,Emory University,,Professor of Practice
,Hancheng Cao,Hancheng,Cao,Assistant Professor of Information Systems & Operations Management and Assistant Professor of Computer Science (by courtesy),Information Systems & Operations Management,Information Systems,Emory University,,Assistant
,Ludovica Castiglia,Ludovica,Castiglia,Assistant Professor of Organization & Management,Organization & Management,Management Organizations (Org. Behavior),Emory University,,Assistant
57201530304,Tian Heong Chan,Tian,Chan,Associate Professor of Information Systems & Operations Management,Information Systems & Operations Management,Information Systems,Emory University,,Associate
7102623748,Ramnath K Chellappa,Ramnath,Chellappa,"Professor of Information Systems & Operations Management; Academic Director, MS in Business Analytics",Information Systems & Operations Management,Information Systems,Emory University,,Professor
6602151484,Tarun Chordia,Tarun,Chordia,"R. Howard Dobbs, Jr. Chaired Professor of Finance",Finance,Finance,Emory University,,Professor
,Marina Cooley,Marina,Cooley,Assistant Professor in the Practice of Marketing,Marketing,Marketing,Emory University,,Professor of Practice
,Kevin Crowley,Kevin,Crowley,Professor in the Practice of Finance,Finance,Finance,Emory University,,Professor of Practice
56954417900,Ruomeng Cui,Ruomeng,Cui,Goizueta Foundation Term Associate Professor  of Information Systems & Operations Management,Information Systems & Operations Management,Information Systems,Emory University,,Associate
6603233609,Ilia Dichev,Ilia,Dichev,"Goizueta Foundation Chair in Financial Reporting, Professor of Accounting, and Director and Associate Dean of PhD Program",Accounting,Accounting,Emory University,,Professor
,Renée Dye,Renée,Dye,Associate Professor in the Practice of Organization & Management,Organization & Management,Management Organizations (Org. Behavior),Emory University,,Professor of Practice
55382907700,George Easton,George,Easton,Associate Professor of Information Systems & Operations Management,Information Systems & Operations Management,Information Systems,Emory University,,Associate
,Molly Ryan Epstein,Molly,Epstein,Professor Emerita in the Practice of Organization & Management,Organization & Management,Management Organizations (Org. Behavior),Emory University,,Emeritus
,Anna Errore,Anna,Errore,Assistant Professor in the Practice of Information Systems & Operations Management,Information Systems & Operations Management,Information Systems,Emory University,,Professor of Practice
57203286941,Cassandra Estep,Cassandra,Estep,Associate Professor of Accounting,Accounting,Accounting,Emory University,,Associate
57223313142,Catarina R. Fernandes,Catarina,Fernandes,Assistant Professor of Organization & Management,Organization & Management,Management Organizations (Org. Behavior),Emory University,,Assistant
,Maximilian Gaerth,Maximilian,Gaerth,Assistant Professor of Marketing,Marketing,Marketing,Emory University,,Assistant
,Sergio Gárate,Sergio,Gárate,Associate Professor in the Practice of Finance; Director of the Goizueta Real Estate Program,Finance,Finance,Emory University,,Professor of Practice
37048512200,Rajiv Garg,Rajiv,Garg,Associate Professor of Information Systems & Operations Management,Information Systems & Operations Management,Information Systems,Emory University,,Associate
,Charles F. Goetz,Charles,Goetz,Professor in the Practice of Organization & Management,Organization & Management,Management Organizations (Org. Behavior),Emory University,,Professor of Practice
,Nikki Graves,Nikki,Graves,Associate Professor in the Practice of Organization and Management,Organization & Management,Management Organizations (Org. Behavior),Emory University,,Professor of Practice
26633872700,T. Clifton Green,T.,Green,John W. McIntyre Professor of Finance,Finance,Finance,Emory University,,Professor
,Wen Gu,Wen,Gu,Associate Professor in the Practice of Information Systems & Operations Management,Information Systems & Operations Management,Information Systems,Emory University,,Professor of Practice
55048720800,Erika V. Hall,Erika,Hall,"Associate Professor of Organization & Management; Faculty Advisor, Business & Society Institute",Organization & Management,Management Organizations (Org. Behavior),Emory University,,Associate
36650843100,Ryan Hamilton,Ryan,Hamilton,Associate Professor of Marketing,Marketing,Marketing,Emory University,,Associate
,Al Hartgraves,Al,Hartgraves,Professor Emeritus of Accounting,Accounting,Accounting,Emory University,,Emeritus
,Andrea Hershatter,Andrea,Hershatter,Professor in the Practice of Organization & Management; Senior Associate Dean of Undergraduate Education,Organization & Management,Management Organizations (Org. Behavior),Emory University,,Professor of Practice
,Raymond Hill,Raymond,Hill,Associate Professor Emeritus in the Practice of Finance,Finance,Finance,Emory University,,Emeritus
,Huy Huynh,Huy,Huynh,Associate Professor in the Practice of Information Systems & Operations Management,Information Systems & Operations Management,Information Systems,Emory University,,Professor of Practice
57257133400,Marat Ibragimov,Marat,Ibragimov,Assistant Professor of Marketing,Marketing,Marketing,Emory University,,Assistant
7201399270,Gareth James,Gareth,James,John H. Harland Dean and Professor of Information Systems & Operations Management,Information Systems & Operations Management,Information Systems,Emory University,,Professor
6602814854,Sandy Jap,Sandy,Jap,Sarah Beth Brown Professor of Marketing,Marketing,Marketing,Emory University,,Professor
6701657094,Narasimhan Jegadeesh,Narasimhan,Jegadeesh,Dean's Distinguished Chair of Finance,Finance,Finance,Emory University,,Dean
55619940400,Wei Jiang,Wei,Jiang,Vice Dean for Faculty and Charles Howard Candler Professor of Finance,Finance,Finance,Emory University,,Professor
,Jake Jo,Jake,Jo,Assistant Professor in the Practice of Organization & Management,Organization & Management,Management Organizations (Org. Behavior),Emory University,,Professor of Practice
6603060315,Kathryn Kadous,Kathryn,Kadous,Schaefer Chaired Professor of Accounting,Accounting,Accounting,Emory University,,Professor
,Allison Kays,Allison,Kays,Associate Professor in the Practice of Accounting,Accounting,Accounting,Emory University,,Professor of Practice
