scopus_id,name,first_name,last_name,original_title,department,area,university,email,rank
56263692300,Austin Sudbury,Austin,Sudbury,Associate Teaching Professor of Accounting,Accounting,Accounting,Carnegie Mellon University,,Teaching Professor
57195489332,Erina Ytsma,Erina,Ytsma,Assistant Professor of Accounting,Accounting,Accounting,Carnegie Mellon University,,Assistant
57190688749,Gaoqing Zhang,Gaoqing,Zhang,Heinz Professor of Accounting,Accounting,Accounting,Carnegie Mellon University,,Professor
,John R. O'Brien,John,O'Brien,"Associate Professor of Accounting and Experimental Economics, Emeritus",Accounting,Accounting,Carnegie Mellon University,,Emeritus
57218555078,Max Risch,Max,Risch,Assistant Professor of Accounting,Accounting,Accounting,Carnegie Mellon University,,Assistant
7203035257,Pierre Liang,Pierre,Liang,Professor of Accounting,Accounting,Accounting,Carnegie Mellon University,,Professor
59866245600,Yucheng Liang,Yucheng,Liang,Assistant Professor of Accounting,Accounting,Accounting,Carnegie Mellon University,,Assistant
,Abbe Depretis,Abbe,Depretis,Associate Teaching Professor of Business Communication,Business Management Communications,Business Communication,Carnegie Mellon University,,Teaching Professor
59923556100,Beth Walter,Beth,Walter,Associate Teaching Professor of Business Communication,Business Management Communications,Business Communication,Carnegie Mellon University,,Teaching Professor
,Carla Bevins,Carla,Bevins,Associate Teaching Professor of Business Communication,Business Management Communications,Business Communication,Carnegie Mellon University,,Teaching Professor
,Christopher Peace,Christopher,Peace,Assistant Teaching Professor of Business Communication,Business Management Communications,Business Communication,Carnegie Mellon University,,Teaching Professor
,Clara Burke,Clara,Burke,Associate Teaching Professor of Business Management Communication,Business Management Communications,Business Communication,Carnegie Mellon University,,Teaching Professor
59233120900,Cody James Januszko,Cody,Januszko,Adjunct Professor of Business Management Communication,Business Management Communications,Business Communication,Carnegie Mellon University,,Adjunct
,David Charles Goyette,David,Goyette,Associate Teaching Professor of Acting and Business Communication,Business Management Communications,Business Communication,Carnegie Mellon University,,Teaching Professor
57478077500,Emily DeJeu,Emily,DeJeu,Assistant Teaching Professor of Business Communication,Business Management Communications,Business Communication,Carnegie Mellon University,,Teaching Professor
,Guillermo Caliendo,Guillermo,Caliendo,Assistant Teaching Professor of Business Communications,Business Management Communications,Business Communication,Carnegie Mellon University,,Teaching Professor
,Juan Rivera Lebron,Juan,Lebron,Distinguished Service Professor of Business Communication and Acting,Business Management Communications,Business Communication,Carnegie Mellon University,,Professor
,Michael Alleruzzo,Michael,Alleruzzo,Adjunct Professor of Business Management,Business Management Communications,Business Communication,Carnegie Mellon University,,Adjunct
,Ming Ming Chapman,Ming,Chapman,Distinguished Service Professor of Design,Business Management Communications,Business Communication,Carnegie Mellon University,,Professor
,Ronald Placone,Ronald,Placone,"Associate Teaching Professor of Business Management Communication, Emeritus",Business Management Communications,Business Communication,Carnegie Mellon University,,Emeritus
,Arun Venkatadr,Arun,Venkatadr,Adjunct Professor of Management,Business Technologies,Information Systems,Carnegie Mellon University,,Adjunct
55904168700,Beibei Li,Beibei,Li,"Anna Loomis McCandless Chair and Professor of IT and Management, Heinz College",Business Technologies,Information Systems,Carnegie Mellon University,,Professor
35793401100,Benjamin Collier,Benjamin,Collier,Assistant Teaching Professor of Business Analytics,"Business Technologies, Operations Research","Information Systems, Business Analytics, Decision Science and Stats",Carnegie Mellon University,,Teaching Professor
56220901500,Ganesh Mani,Ganesh,Mani,Adjunct Professor,Business Technologies,Information Systems,Carnegie Mellon University,,Adjunct
7202489639,Kannan Srinivasan,Kannan,Srinivasan,"H.J. Heinz II Professor of Management, Marketing and Business Technologies","Business Technologies, Marketing","Information Systems, Marketing",Carnegie Mellon University,,Professor
55200715200,Marvin Sirbu,Marvin,Sirbu,Professor of Engineering and Public Policy; Electrical and Computer Engineering and Joint Appointment at Tepper School of Business,Business Technologies,Information Systems,Carnegie Mellon University,,Professor
,Mohsen Foroughifar,Mohsen,Foroughifar,Assistant Professor of Business Technologies,Business Technologies,Information Systems,Carnegie Mellon University,,Assistant
6701569542,Mor Harchol-Balter,Mor,Harchol-Balter,"Professor of Computer Science, School of Computer Science and by Courtesy, Tepper School of Business",Business Technologies,Information Systems,Carnegie Mellon University,,Professor
,Nikhil Malik,Nikhil,Malik,Visiting Assistant Professor of Marketing and Business Technologies,"Business Technologies, Marketing","Information Systems, Marketing",Carnegie Mellon University,,Visiting
55463329200,Param Vir Singh,Param,Singh,"Associate Dean, Research; Carnegie Bosch Professor of Business Technologies and Marketing",Business Technologies,Information Systems,Carnegie Mellon University,,Professor
6602320372,Rahul Telang,Rahul,Telang,"Professor of Information Systems, Heinz College, and by courtesy, Tepper School of Business",Business Technologies,Information Systems,Carnegie Mellon University,,Professor
7005593060,Robert T. Monroe,Robert,Monroe,Teaching Professor of Business Technologies,Business Technologies,Information Systems,Carnegie Mellon University,,Teaching Professor
7005678677,Tridas Mukhopadhyay,Tridas,Mukhopadhyay,Deloitte Consulting Professor of e-Business; Professor of Business Technologies,Business Technologies,Information Systems,Carnegie Mellon University,,Professor
55502385400,Yan Huang,Yan,Huang,Associate Professor of Business Technologies,Business Technologies,Information Systems,Carnegie Mellon University,,Associate
,Zoey Jiang,Zoey,Jiang,Assistant Professor of Business Technologies,Business Technologies,Information Systems,Carnegie Mellon University,,Assistant
55674973000,Ali Shourideh,Ali,Shourideh,Associate Professor of Economics,Economics,Business Econ and Policy,Carnegie Mellon University,,Associate
60630181300,Andre M. Sztutman,Andre,Sztutman,Assistant Professor of Economics,Economics,Business Econ and Policy,Carnegie Mellon University,,Assistant
36089323100,Anh Nguyen,Anh,Nguyen,Associate Professor of Economics,Economics,Business Econ and Policy,Carnegie Mellon University,,Associate
,Aniko Öry,Aniko,Öry,Associate Professor of Economics,Economics,Business Econ and Policy,Carnegie Mellon University,,Associate
56444452200,Ariel Zetlin-Jones,Ariel,Zetlin-Jones,Associate Professor of Economics,Economics,Business Econ and Policy,Carnegie Mellon University,,Associate
56154737700,Burton Hollifield,Burton,Hollifield,PNC Professor of Finance; Professor of Financial Economics,"Economics, Finance","Business Econ and Policy, Finance",Carnegie Mellon University,,Professor
10043611700,Christina Fong,Christina,Fong,"Research Scientist, Department of Social and Decision Sciences, Dietrich College",Economics,Business Econ and Policy,Carnegie Mellon University,,Other
6701460925,Dennis Epple,Dennis,Epple,Thomas Lord University Professor of Economics,Economics,Business Econ and Policy,Carnegie Mellon University,,Professor
,James Best,James,Best,Assistant Professor of Economics,Economics,Business Econ and Policy,Carnegie Mellon University,,Assistant
26641811900,John Gasper,John,Gasper,"Associate Dean, Undergraduate Programs; Associate Teaching Professor of Economics",Economics,Business Econ and Policy,Carnegie Mellon University,,Teaching Professor
57203044047,Karen Clay,Karen,Clay,Teresa and H. John Heinz III Professor of Economics and Public Policy,Economics,Business Econ and Policy,Carnegie Mellon University,,Professor
24721201300,Laurence Ales,Laurence,Ales,"Senior Associate Dean, Education; Professor of Economics",Economics,Business Econ and Policy,Carnegie Mellon University,,Professor
57225927823,Liyan Shi,Liyan,Shi,Assistant Professor of Economics,Economics,Business Econ and Policy,Carnegie Mellon University,,Assistant
7402700813,Lowell Taylor,Lowell,Taylor,H. John Heinz III University Professor Of Economics,Economics,Business Econ and Policy,Carnegie Mellon University,,Professor
57207935936,Margarita Portnykh,Margarita,Portnykh,Assistant Teaching Professor of Business Analytics and Economics,Economics,Business Econ and Policy,Carnegie Mellon University,,Teaching Professor
18340019200,Martin Gaynor,Martin,Gaynor,"E.J. Barone Professor of Economics and Health Policy, Heinz College, and by Courtesy, Tepper School of Business",Economics,Business Econ and Policy,Carnegie Mellon University,,Professor
,Martin Michelini,Martin,Michelini,"Post-Doctoral Fellow, Economics, Econometrics and Data Science",Economics,Business Econ and Policy,Carnegie Mellon University,,Other
57192392811,Maryam Saeedi,Maryam,Saeedi,Associate Professor of Economics,Economics,Business Econ and Policy,Carnegie Mellon University,,Associate
12776506000,Nicholas Muller,Nicholas,Muller,"Lester and Judith Lave Professor of Economics, Engineering, and Public Policy",Economics,Business Econ and Policy,Carnegie Mellon University,,Professor
57225931414,Nick Pretnar,Nick,Pretnar,Adjunct Professor of Economics,Economics,Business Econ and Policy,Carnegie Mellon University,,Adjunct
57188585915,Rebecca Lessem,Rebecca,Lessem,Associate Professor of Economics,Economics,Business Econ and Policy,Carnegie Mellon University,,Associate
,Robert Miller,Robert,Miller,Richard M. Cyert and Morris DeGroot Professor of Economics and Statistics; Professor of Economics and Strategy,"Economics, Strategy","Business Econ and Policy, Strategy",Carnegie Mellon University,,Professor
37020079100,Selman Erol,Selman,Erol,Associate Professor of Economics,Economics,Business Econ and Policy,Carnegie Mellon University,,Associate
,Serra Boranbay-Akan,Serra,Boranbay-Akan,Associate Teaching Professor of Economics,Economics,Business Econ and Policy,Carnegie Mellon University,,Teaching Professor
,Shengxing Zhang,Shengxing,Zhang,Associate Professor of Economics,Economics,Business Econ and Policy,Carnegie Mellon University,,Associate
26326476000,Stephen Spear,Stephen,Spear,Professor of Economics,Economics,Business Econ and Policy,Carnegie Mellon University,,Professor
,Tim Ederer,Tim,Ederer,Assistant Professor of Economics,Economics,Business Econ and Policy,Carnegie Mellon University,,Assistant
,Aaron Tainter,Aaron,Tainter,Adjunct Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,Carnegie Mellon University,,Adjunct
,Alex Grelli,Alex,Grelli,Adjunct Professor of Law and Entrepreneurship,Entrepreneurship,Entrepreneurship,Carnegie Mellon University,,Adjunct
52363298300,Brandy L. Aven,Brandy,Aven,"Associate Professor of Organizational Theory, Strategy, and Entrepreneurship","Entrepreneurship, Organizational Behavior and Theory, Strategy","Entrepreneurship, Management Organizations (Org. Behavior), Strategy",Carnegie Mellon University,,Associate
,Craig Markovitz,Craig,Markovitz,Distinguished Service Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,Carnegie Mellon University,,Professor
57208077176,D. Carrington Motley,D.,Motley,Assistant Professor of Organization Theory and Entrepreneurship,"Entrepreneurship, Organizational Behavior and Theory","Entrepreneurship, Management Organizations (Org. Behavior)",Carnegie Mellon University,,Assistant
,David S. Mawhinney,David,Mawhinney,"Founding Executive Director, Swartz Center for Entrepreneurship; Executive Director, Donald H. Jones Center for Entrepreneurship; Teaching Professor of Entrepreneurship",Entrepreneurship,Entrepreneurship,Carnegie Mellon University,,Teaching Professor
,Edward Stack,Edward,Stack,Adjunct Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,Carnegie Mellon University,,Adjunct
36440093500,Elijah Mayfield,Elijah,Mayfield,Adjunct Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,Carnegie Mellon University,,Adjunct
,Frank Demmler,Frank,Demmler,Adjunct Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,Carnegie Mellon University,,Adjunct
8974607800,Jean Oh,Jean,Oh,Assistant Professor of Organizational Theory and Entrepreneurship,"Entrepreneurship, Organizational Behavior and Theory","Entrepreneurship, Management Organizations (Org. Behavior)",Carnegie Mellon University,,Assistant
,Jim Jen,Jim,Jen,Distinguished Service Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,Carnegie Mellon University,,Professor
,JJ Xu,JJ,Xu,Adjunct Instructor of Entrepreneurship,Entrepreneurship,Entrepreneurship,Carnegie Mellon University,,Adjunct
,Laurie Barkman,Laurie,Barkman,Adjunct Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,Carnegie Mellon University,,Adjunct
,Leonard Caric,Leonard,Caric,Adjunct Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,Carnegie Mellon University,,Adjunct
55607325900,Matthew Denes,Matthew,Denes,Assistant Professor of Finance and Entrepreneurship,"Entrepreneurship, Finance","Entrepreneurship, Finance",Carnegie Mellon University,,Assistant
,Meredith Meyer Grelli,Meredith,Grelli,"Managing Director and Interim Exec Director, Swartz Center for Entrepreneurship; Assistant Dean of Entrepreneurship Initiatives, School of Computer Science; Director, Project Olympus; Associate Teaching Professor of Entrepreneurship",Entrepreneurship,Entrepreneurship,Carnegie Mellon University,,Teaching Professor
55102764300,Oliver Hahl,Oliver,Hahl,"Associate Dean, Masters Programs; Associate Professor of Organization Theory, Strategy and Entrepreneurship","Entrepreneurship, Organizational Behavior and Theory, Strategy","Entrepreneurship, Management Organizations (Org. Behavior), Strategy",Carnegie Mellon University,,Associate
,Raji Sankar,Raji,Sankar,Adjunct Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,Carnegie Mellon University,,Adjunct
60213279100,Sean Ammirati,Sean,Ammirati,Distinguished Service Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,Carnegie Mellon University,,Professor
36192092900,Derek Leben,Derek,Leben,Associate Teaching Professor of Business Ethics,Ethics,Other,Carnegie Mellon University,,Teaching Professor
,Dina Siniora,Dina,Siniora,Adjunct Professor of Business Ethics,Ethics,Other,Carnegie Mellon University,,Adjunct
7005224799,John Hooker,John,Hooker,"T. Jerome Holleran Professor of Business Ethics and Social Responsibility; University Professor of Operations Research, Emeritus","Ethics, Operations Research","Other, Business Analytics, Decision Science and Stats",Carnegie Mellon University,,Emeritus
57051679300,Tae Wan Kim,Tae,Kim,Associate Professor of Business Ethics,Ethics,Other,Carnegie Mellon University,,Associate
14832277000,Taya Cohen,Taya,Cohen,Professor of Organizational Behavior and Business Ethics,"Ethics, Organizational Behavior and Theory","Other, Management Organizations (Org. Behavior)",Carnegie Mellon University,,Professor
53871278400,Brent Glover,Brent,Glover,Associate Professor of Finance,Finance,Finance,Carnegie Mellon University,,Associate
6603255760,Bryan Routledge,Bryan,Routledge,Associate Professor of Finance,Finance,Finance,Carnegie Mellon University,,Associate
6602234506,Chester Spatt,Chester,Spatt,Pamela R. and Kenneth B. Dunn Professor of Finance,Finance,Finance,Carnegie Mellon University,,Professor
6602527346,Chris Telmer,Chris,Telmer,Associate Professor of Financial Economics,Finance,Finance,Carnegie Mellon University,,Associate
6602406208,Duane Seppi,Duane,Seppi,"Senior Associate Dean, Faculty; Richard C. Green Professor of Financial Economics",Finance,Finance,Carnegie Mellon University,,Professor
57208799055,James F. Albertus,James,Albertus,Assistant Professor of Finance,Finance,Finance,Carnegie Mellon University,,Assistant
,Jim Foster,Jim,Foster,Adjunct Professor of Finance,Finance,Finance,Carnegie Mellon University,,Adjunct
,Kate Barraclough,Kate,Barraclough,Vice Provost for Education; Teaching Professor of Finance,Finance,Finance,Carnegie Mellon University,,Teaching Professor
35435364500,Lars-Alexander Kuehn,Lars-Alexander,Kuehn,Professor of Finance,Finance,Finance,Carnegie Mellon University,,Professor
,Linda Du,Linda,Du,Assistant Professor of Finance,Finance,Finance,Carnegie Mellon University,,Assistant
,Nick Psaris,Nick,Psaris,Adjunct Professor of Finance,Finance,Finance,Carnegie Mellon University,,Adjunct
,Patrick Blonien,Patrick,Blonien,Assistant Professor of Finance,Finance,Finance,Carnegie Mellon University,,Assistant
57212762299,Simon Mayer,Simon,Mayer,Assistant Professor of Finance,Finance,Finance,Carnegie Mellon University,,Assistant
,Zeigham Khokher,Zeigham,Khokher,Associate Teaching Professor of Finance,Finance,Finance,Carnegie Mellon University,,Teaching Professor
