scopus_id,name,first_name,last_name,original_title,department,area,university,email,rank
,Leanne Adams,Leanne,Adams,Instructor in-Residence,Accounting,Accounting,University of Connecticut,,Instructor
57188881129,Vishal Baloria,Vishal,Baloria,Associate Professor,Accounting,Accounting,University of Connecticut,,Associate
,Suzanne Cansler,Suzanne,Cansler,Instructor in-Residence,Accounting,Accounting,University of Connecticut,,Instructor
55716043900,Wei Chen,Wei,Chen,Assistant Professor,"Accounting, Operations and Information Management","Accounting, Production and Operations",University of Connecticut,,Assistant
57225888068,Will Docimo,Will,Docimo,Assistant Professor,Accounting,Accounting,University of Connecticut,,Assistant
,John Elliott,John,Elliott,"Former Dean, School of Business, and Auran J. Fox Chair in Business",Accounting,Accounting,University of Connecticut,,Dean
36140183200,Li Fang,Li,Fang,Assistant Professor-in-Residence,Accounting,Accounting,University of Connecticut,,Assistant
,Carlos Fernandez Varela,Carlos,Varela,Instructor in-Residence,Accounting,Accounting,University of Connecticut,,Instructor
23992045100,Guojin Gong,Guojin,Gong,Professor of Accounting | Deloitte Foundation Faculty Fellow,Accounting,Accounting,University of Connecticut,,Professor
19933926000,Alina Lerman,Alina,Lerman,Associate Professor,Accounting,Accounting,University of Connecticut,,Associate
,Ricki Livingston,Ricki,Livingston,Assistant Professor in-Residence,Accounting,Accounting,University of Connecticut,,Assistant
57223147542,Frank Murphy,Frank,Murphy,Assistant Professor,Accounting,Accounting,University of Connecticut,,Assistant
6507006543,George Plesko,George,Plesko,KPMG Professor of Accounting | Department Head,Accounting,Accounting,University of Connecticut,,Professor
57201112950,Joshua Racca,Joshua,Racca,"Academic Director, MS Programs in Accounting | Associate Professor In-Residence",Accounting,Accounting,University of Connecticut,,Associate
,Arthur Schmeiser,Arthur,Schmeiser,Instructor in-Residence,Accounting,Accounting,University of Connecticut,,Instructor
,Subprasiri Siriviriyakul,Subprasiri,Siriviriyakul,Associate Professor in-Residence,Accounting,Accounting,University of Connecticut,,Associate
56613501600,Steven Utke,Steven,Utke,"Associate Professor, Arthur Andersen, LLP Accounting Professor",Accounting,Accounting,University of Connecticut,,Associate
,Tara Vakil,Tara,Vakil,Academic Director | Assistant Department Head | Assistant Professor In-Residence,Accounting,Accounting,University of Connecticut,,Assistant
23494014200,David Weber,David,Weber,"Professor, Deloitte Foundation Professor of Accounting",Accounting,Accounting,University of Connecticut,,Professor
56633691300,Mike Willenborg,Mike,Willenborg,Richard F. Kochanek Professor of Accounting,Accounting,Accounting,University of Connecticut,,Professor
57218284377,Nina Xu,Nina,Xu,Assistant Professor,Accounting,Accounting,University of Connecticut,,Assistant
55199225200,Yanhua Sunny Yang,Yanhua,Yang,Associate Professor,Accounting,Accounting,University of Connecticut,,Associate
57226152117,Ying Zhou,Ying,Zhou,"Associate Professor, Ackerman Scholar",Accounting,Accounting,University of Connecticut,,Associate
56706771300,Youli Zou,Youli,Zou,Associate Professor,Accounting,Accounting,University of Connecticut,,Associate
,Mark Caplan,Mark,Caplan,Adjunct Faculty,Accounting,Accounting,University of Connecticut,,Adjunct
,Jessica Edwards,Jessica,Edwards,Adjunct Faculty,Accounting,Accounting,University of Connecticut,,Adjunct
