scopus_id,name,first_name,last_name,original_title,department,area,university,email,rank
57208070284,Rohit Aggarwal,Rohit,Aggarwal,Professor; David Eccles Emerging Scholar,Department of Operations and Information Systems,Production and Operations,University of Utah,,Professor
,David Agogo,David,Agogo,Assistant Professor (Lecturer),Department of Operations and Information Systems,Production and Operations,University of Utah,,Lecturer
7004202795,Steve Alder,Steve,Alder,Executive Director & Adjunct Professor,Department of Entrepreneurship & Strategy,Entrepreneurship,University of Utah,,Adjunct
7101749736,Krishnan Anand,Krishnan,Anand,"David Eccles Professor, Faculty Scholar, Faculty Fellow, & Emerging Scholar",Department of Operations and Information Systems,Production and Operations,University of Utah,,Professor
55257316800,Mike Anderson,Mike,Anderson,Professor (Lecturer),Department of Finance,Finance,University of Utah,,Lecturer
6507429898,Elena Asparouhova,Elena,Asparouhova,Stena Faculty Chair,Department of Finance,Finance,University of Utah,,Professor
,Bonita Austin,Bonita,Austin,Professor (Lecturer),Department of Entrepreneurship & Strategy,Entrepreneurship,University of Utah,,Lecturer
,Abe Bakhsheshy,Abe,Bakhsheshy,"Emeritus Professor, Professor (Lecturer) Organizational Behavior",Department of Entrepreneurship & Strategy,Entrepreneurship,University of Utah,,Emeritus
35315644200,Nitin Bakshi,Nitin,Bakshi,"Chair and Professor, Department of Operations and Information Systems; David Eccles Professor",Department of Operations and Information Systems,Production and Operations,University of Utah,,Professor
,Quentin T. Baldwin,Quentin,Baldwin,Assistant Professor (Lecturer),Department of Management,Management Organizations (Org. Behavior),University of Utah,,Lecturer
7004413102,Jay Barney,Jay,Barney,Presidential Professor of Strategic Management & Lassonde Chair of Social Entrepreneurship,Department of Entrepreneurship & Strategy,Entrepreneurship,University of Utah,,Professor
,Darrin Bartunek,Darrin,Bartunek,Career Coach/Instructor,Department of Operations and Information Systems,Production and Operations,University of Utah,,Instructor
,Scott Becker,Scott,Becker,Assistant Professor (Lecturer),School of Accounting,Accounting,University of Utah,,Lecturer
55819535800,Victor Bennett,Victor,Bennett,Professor,Department of Entrepreneurship & Strategy,Entrepreneurship,University of Utah,,Professor
57210828487,Bailey Bigelow,Bailey,Bigelow,Assistant Professor,Department of Management,Management Organizations (Org. Behavior),University of Utah,,Assistant
7004452042,Lyda Bigelow,Lyda,Bigelow,"Academic Director of MBC Programs, Pierre Lassonde Professor of Entrepreneurship & Strategy",Department of Entrepreneurship & Strategy,Entrepreneurship,University of Utah,,Professor
,Sarah Bishop,Sarah,Bishop,Assistant Professor (Lecturer),Department of Management,Management Organizations (Org. Behavior),University of Utah,,Lecturer
,Lee Boam,Lee,Boam,Professor (Lecturer),Department of Management,Management Organizations (Org. Behavior),University of Utah,,Lecturer
7005832170,Bryan Bonner,Bryan,Bonner,Professor; Frederick I. Herzberg Professorship,Department of Management,Management Organizations (Org. Behavior),University of Utah,,Professor
,Cord Bowen,Cord,Bowen,"Professor (Clinical) & Director, Doman Innovation Studio",Department of Entrepreneurship & Strategy,Entrepreneurship,University of Utah,,Clinical Professor
,Allison Boxer,Allison,Boxer,Asst. Professor (Lecturer); Strategic Advisor to the Dean; James Lee Sorenson Presidential Endowed Chair in Applied Research,Department of Entrepreneurship & Strategy,Entrepreneurship,University of Utah,,Lecturer
,Mike Boyle,Mike,Boyle,Associate Professor (Lecturer),Department of Operations and Information Systems,Production and Operations,University of Utah,,Lecturer
