scopus_id,name,first_name,last_name,original_title,department,area,university,email,rank
,Kirsten Anderson,Kirsten,Anderson,Teaching Professor,Accounting and Business Law,Accounting,Georgetown University (McDonough School of Business),,Teaching Professor
,Ross Cooper,Ross,Cooper,Professor of the Practice,Accounting and Business Law,Accounting,Georgetown University (McDonough School of Business),,Professor of Practice
,James Dalkin,James,Dalkin,Adjunct Lecturer – MSB,Accounting and Business Law,Accounting,Georgetown University (McDonough School of Business),,Adjunct
57262888300,Aishwarrya Deore,Aishwarrya,Deore,Assistant Professor,Accounting and Business Law,Accounting,Georgetown University (McDonough School of Business),,Assistant
6505892271,Gilles Hilary,Gilles,Hilary,George R. Houston Endowed Professor,Accounting and Business Law,Accounting,Georgetown University (McDonough School of Business),,Professor
,Karen Kitching,Karen,Kitching,Teaching Professor,Accounting and Business Law,Accounting,Georgetown University (McDonough School of Business),,Teaching Professor
56835500000,Allison Koester,Allison,Koester,Associate Professor,Accounting and Business Law,Accounting,Georgetown University (McDonough School of Business),,Associate
,April Nguyen,April,Nguyen,Assistant Teaching ProfessorMSc PhD CPA,Accounting and Business Law,Accounting,Georgetown University (McDonough School of Business),,Teaching Professor
57642854100,Seyoung Park,Seyoung,Park,Assistant Professor,Accounting and Business Law,Accounting,Georgetown University (McDonough School of Business),,Assistant
55189669600,Reining Petacchi,Reining,Petacchi,Associate Professor,Accounting and Business Law,Accounting,Georgetown University (McDonough School of Business),,Associate
,Mark Rouchard,Mark,Rouchard,Adjunct Faculty,Accounting and Business Law,Accounting,Georgetown University (McDonough School of Business),,Adjunct
36642749300,Jason Schloetzer,Jason,Schloetzer,Associate Professor and Accounting Area ChairFaculty Director for the McDonough Senior Honors Thesis Program,Accounting and Business Law,Accounting,Georgetown University (McDonough School of Business),,Associate
,James Sinclair,James,Sinclair,Adjunct Faculty,Accounting and Business Law,Accounting,Georgetown University (McDonough School of Business),,Adjunct
15069979800,Wei Tang,Wei,Tang,Associate Professor,Accounting and Business Law,Accounting,Georgetown University (McDonough School of Business),,Associate
57540386600,Xiaoli Tian,Xiaoli,Tian,Associate Professor,Accounting and Business Law,Accounting,Georgetown University (McDonough School of Business),,Associate
,Andrew Ting,Andrew,Ting,Adjunct Faculty,Accounting and Business Law,Accounting,Georgetown University (McDonough School of Business),,Adjunct
57226818020,Yifang Xie,Yifang,Xie,Assistant Professor,Accounting and Business Law,Accounting,Georgetown University (McDonough School of Business),,Assistant
,Viktoriya Zotova,Viktoriya,Zotova,Visiting Assistant Teaching Professor,Accounting and Business Law,Accounting,Georgetown University (McDonough School of Business),,Visiting
7203025120,Reena Aggarwal,Reena,Aggarwal,"Robert E. McDonough Professor of Finance and Director, Georgetown Psaros Center for Financial Markets and Policy",Finance,Finance,Georgetown University (McDonough School of Business),,Professor
7101775713,James Angel,James,Angel,"Associate ProfessorAcademic Director, FINRA Certified Regulatory and Compliance Professional (CRCP (r)) Program at Georgetown",Finance,Finance,Georgetown University (McDonough School of Business),,Associate
55617930400,Jennie Bai,Jennie,Bai,ProfessorResearch Associate at National Bureau of Economic Research,Finance,Finance,Georgetown University (McDonough School of Business),,Professor
,Jessica Bai,Jessica,Bai,Assistant Professor of Finance,Finance,Finance,Georgetown University (McDonough School of Business),,Assistant
6603902847,Turan Bali,Turan,Bali,"Robert S. Parker Chair, Professor of Business Administration",Finance,Finance,Georgetown University (McDonough School of Business),,Professor
,Matthew Baron,Matthew,Baron,"Associate ProfessorAssociate Director of Research, Psaros Center for Financial Markets & Policy",Finance,Finance,Georgetown University (McDonough School of Business),,Associate
,James Bodurtha Jr,James,Jr,Associate Professor Emeritus,Finance,Finance,Georgetown University (McDonough School of Business),,Emeritus
7006642079,George Comer,George,Comer,"Associate Professor, Co-Academic Director, Reach Program and Director of Underrepresented Minority (URM)",Finance,Finance,Georgetown University (McDonough School of Business),,Associate
57193920302,Francesco D’Acunto,Francesco,D’Acunto,A. James Clark Chair in Global Real Estate,Finance,Finance,Georgetown University (McDonough School of Business),,Professor
7005816977,Sandeep Dahiya,Sandeep,Dahiya,Crnkovich Family Business of Health Chair,Finance,Finance,Georgetown University (McDonough School of Business),,Professor
7003364686,Allan Eberhart,Allan,Eberhart,"Professor and Senior Associate Dean, Graduate Programs in Finance",Finance,Finance,Georgetown University (McDonough School of Business),,Professor
57192198883,Janet Gao,Janet,Gao,Lapeyre Family Provost’s Distinguished Associate Professor,Finance,Finance,Georgetown University (McDonough School of Business),,Associate
58617927100,David McLean,David,McLean,William G. Droms Professor and Finance Area Chair,Finance,Finance,Georgetown University (McDonough School of Business),,Professor
57090855800,Vladimir Mukharlyamov,Vladimir,Mukharlyamov,Assistant Professor,Finance,Finance,Georgetown University (McDonough School of Business),,Assistant
7801521990,Lee Pinkowitz,Lee,Pinkowitz,"Associate Professor and Associate Director, Georgetown Center for Financial Markets and Policy",Finance,Finance,Georgetown University (McDonough School of Business),,Associate
55745745800,Alberto Rossi,Alberto,Rossi,"Hachigian Family Professor and Director, Future of Work Initiative | Director, Future of Work InitiativeDirector of the AI, Analytics and Future of Work Initiative",Finance,Finance,Georgetown University (McDonough School of Business),,Professor
56235587700,David Walker,David,Walker,John A. Largay Professor Emeritus,Finance,Finance,Georgetown University (McDonough School of Business),,Emeritus
8068416400,Rohan Williamson,Rohan,Williamson,Professor of Finance and the Bolton Sullivan and Thomas A. Dean Chair of International Business,Finance,Finance,Georgetown University (McDonough School of Business),,Professor
55820944200,Xiaofei Zhao,Xiaofei,Zhao,Professor,Finance,Finance,Georgetown University (McDonough School of Business),,Professor
58544883600,Anthony Annan,Anthony,Annan,Associate Professor of the Practice,"Finance, Strategy, Economics, Ethics, and Public Policy","Finance, Strategy",Georgetown University (McDonough School of Business),,Professor of Practice
,Matthew Cypher,Matthew,Cypher,"Atara Kaufman Professor of the Practice, Director of the Steers Center for Global Real Estate, and Academic Director, M.S. in Global Real Assets",Finance,Finance,Georgetown University (McDonough School of Business),,Professor of Practice
,Jonathan Heath,Jonathan,Heath,Assistant Teaching Professor and Director of Academic Operations,Finance,Finance,Georgetown University (McDonough School of Business),,Teaching Professor
57204634039,Claire Liang,Claire,Liang,"Associate Teaching Professor | Associate Director, Psaros Center for Financial Markets and Policy",Finance,Finance,Georgetown University (McDonough School of Business),,Teaching Professor
,Kenneth Bacon,Kenneth,Bacon,Adjunct Faculty,Finance,Finance,Georgetown University (McDonough School of Business),,Adjunct
,Brodie Boland,Brodie,Boland,Adjunct Faculty,Finance,Finance,Georgetown University (McDonough School of Business),,Adjunct
,Paul Brigner,Paul,Brigner,Adjunct Faculty,Finance,Finance,Georgetown University (McDonough School of Business),,Adjunct
,Daniel Comas,Daniel,Comas,Adjunct Professor,Finance,Finance,Georgetown University (McDonough School of Business),,Adjunct
,Edward Crawford,Edward,Crawford,Adjunct Faculty,Finance,Finance,Georgetown University (McDonough School of Business),,Adjunct
,George Ferris,George,Ferris,Adjunct Faculty,Finance,Finance,Georgetown University (McDonough School of Business),,Adjunct
,Jeffrey Foster,Jeffrey,Foster,Adjunct Faculty,Finance,Finance,Georgetown University (McDonough School of Business),,Adjunct
,Evan Goldschneider,Evan,Goldschneider,Adjunct Faculty,Finance,Finance,Georgetown University (McDonough School of Business),,Adjunct
35614321700,Matthew McKenna,Matthew,McKenna,Adjunct Faculty,Finance,Finance,Georgetown University (McDonough School of Business),,Adjunct
,Arun Muralidhar,Arun,Muralidhar,Adjunct Faculty,Finance,Finance,Georgetown University (McDonough School of Business),,Adjunct
,Craig O’Connor,Craig,O’Connor,Adjunct Faculty,Finance,Finance,Georgetown University (McDonough School of Business),,Adjunct
,Jerome Romano,Jerome,Romano,Adjunct Faculty,Finance,Finance,Georgetown University (McDonough School of Business),,Adjunct
,Herrick Savage,Herrick,Savage,Adjunct Faculty,Finance,Finance,Georgetown University (McDonough School of Business),,Adjunct
,Kelly Sewell Nagel,Kelly,Nagel,Adjunct Faculty,Finance,Finance,Georgetown University (McDonough School of Business),,Adjunct
,Jonathan Siegel,Jonathan,Siegel,Adjunct Faculty,Finance,Finance,Georgetown University (McDonough School of Business),,Adjunct
,David Sislen,David,Sislen,Executive in Residence,Finance,Finance,Georgetown University (McDonough School of Business),,Other
,Rory Smith,Rory,Smith,"Adjunct FacultyManaging Partner, Plandome Capital LLC",Finance,Finance,Georgetown University (McDonough School of Business),,Adjunct
,Dilip Sundaram,Dilip,Sundaram,Adjunct Faculty,Finance,Finance,Georgetown University (McDonough School of Business),,Adjunct
57221393464,Andres Vinelli,Andres,Vinelli,"Adjunct FacultyVice President, Center for American Progress",Finance,Finance,Georgetown University (McDonough School of Business),,Adjunct
,Darren Wolf,Darren,Wolf,Adjunct Faculty,Finance,Finance,Georgetown University (McDonough School of Business),,Adjunct
,Jay Wright,Jay,Wright,Adjunct Faculty,Finance,Finance,Georgetown University (McDonough School of Business),,Adjunct
,Jordan Wruble,Jordan,Wruble,Adjunct Faculty,Finance,Finance,Georgetown University (McDonough School of Business),,Adjunct
,Umit Yilmaz,Umit,Yilmaz,Affiliate Visiting Researcher,Finance,Finance,Georgetown University (McDonough School of Business),,Visiting
,Serene Al-Momen,Serene,Al-Momen,Adjunct Faculty,Management,Management Organizations (Org. Behavior),Georgetown University (McDonough School of Business),,Adjunct
7004231146,Robert Bies,Robert,Bies,Professor,Management,Management Organizations (Org. Behavior),Georgetown University (McDonough School of Business),,Professor
,Bertrand Bouhour,Bertrand,Bouhour,Adjunct Faculty,Management,Management Organizations (Org. Behavior),Georgetown University (McDonough School of Business),,Adjunct
,Melissa Bradley,Melissa,Bradley,Professor of the Practice,Management,Management Organizations (Org. Behavior),Georgetown University (McDonough School of Business),,Professor of Practice
,Kerrie Carfagno,Kerrie,Carfagno,Associate Teaching Professor,Management,Management Organizations (Org. Behavior),Georgetown University (McDonough School of Business),,Teaching Professor
,Leslie Crutchfield,Leslie,Crutchfield,Business for Impact Executive Director & New Strategies Managing Director,Management,Management Organizations (Org. Behavior),Georgetown University (McDonough School of Business),,Other
57208941562,Charles Dorison,Charles,Dorison,Assistant Professor,Management,Management Organizations (Org. Behavior),Georgetown University (McDonough School of Business),,Assistant
,George Dutile,George,Dutile,Adjunct Faculty,Management,Management Organizations (Org. Behavior),Georgetown University (McDonough School of Business),,Adjunct
,Travis Elliott,Travis,Elliott,Visiting Assistant Professor,Management,Management Organizations (Org. Behavior),Georgetown University (McDonough School of Business),,Visiting
,Michael Fitzgerald,Michael,Fitzgerald,Academic Director,Management,Management Organizations (Org. Behavior),Georgetown University (McDonough School of Business),,Other
,J. Gamble,J.,Gamble,Adjunct Faculty,Management,Management Organizations (Org. Behavior),Georgetown University (McDonough School of Business),,Adjunct
57201570526,Gerry George,Gerry,George,Tamsen and Michael Brown (B’94) Family Professor of Entrepreneurship and Innovation,Management,Management Organizations (Org. Behavior),Georgetown University (McDonough School of Business),,Professor
,Shye Gilad,Shye,Gilad,Professor of the Practice,Management,Management Organizations (Org. Behavior),Georgetown University (McDonough School of Business),,Professor of Practice
,Phil Hetzel,Phil,Hetzel,Adjunct Faculty,Management,Management Organizations (Org. Behavior),Georgetown University (McDonough School of Business),,Adjunct
,J Holladay,J,Holladay,Heinz Christian Prechter Executive in Residence,Management,Management Organizations (Org. Behavior),Georgetown University (McDonough School of Business),,Other
6602556398,Brooks Holtom,Brooks,Holtom,Professor of Management,Management,Management Organizations (Org. Behavior),Georgetown University (McDonough School of Business),,Professor
